Date,Price,Open,High,Low,Vol.,Change %
12-Sep,"13,437.13","13,092.15","13,653.24","12,977.09",2.70B,2.65%
12-Aug,"13,090.84","13,007.47","13,330.76","12,778.90",2.27B,0.63%
12-Jul,"13,008.68","12,879.71","13,128.64","12,492.25",2.58B,1.00%
12-Jun,"12,880.09","12,391.56","12,898.94","12,035.09",2.92B,3.93%
12-May,"12,393.45","13,214.16","13,338.66","12,311.56",3.05B,-6.21%
12-Apr,"13,213.63","13,211.36","13,297.11","12,710.56",2.57B,0.01%
12-Mar,"13,212.04","12,952.29","13,289.08","12,734.86",3.20B,2.01%
12-Feb,"12,952.07","12,632.76","13,055.75","12,632.76",2.71B,2.53%
12-Jan,"12,632.91","12,221.19","12,841.95","12,221.19",2.98B,3.40%
11-Dec,"12,217.56","12,046.21","12,328.47","11,735.19",3.15B,1.43%
11-Nov,"12,045.68","11,951.53","12,187.51","11,231.56",3.40B,0.76%
11-Oct,"11,955.01","10,912.10","12,284.31","10,404.49",3.91B,9.54%
11-Sep,"10,913.38","11,613.30","11,716.84","10,597.14",4.40B,-6.03%
11-Aug,"11,613.53","12,144.22","12,282.42","10,604.07",6.20B,-4.36%
11-Jul,"12,143.24","12,412.07","12,753.89","12,083.45",3.09B,-2.18%
11-Jun,"12,414.34","12,569.41","12,569.49","11,862.53",3.88B,-1.24%
11-May,"12,569.79","12,810.16","12,876.00","12,309.52",3.58B,-1.88%
11-Apr,"12,810.54","12,321.02","12,832.83","12,093.89",3.32B,3.98%
11-Mar,"12,319.73","12,226.49","12,383.46","11,555.48",3.85B,0.76%
11-Feb,"12,226.34","11,892.50","12,391.29","11,892.50",3.22B,2.81%
11-Jan,"11,891.93","11,577.43","12,020.52","11,573.87",3.68B,2.72%
10-Dec,"11,577.51","11,007.23","11,625.00","11,007.23",3.25B,5.19%
10-Nov,"11,006.02","11,120.30","11,451.53","10,929.28",3.81B,-1.01%
10-Oct,"11,118.49","10,789.72","11,247.60","10,711.12",3.79B,3.06%
10-Sep,"10,788.05","10,016.01","10,948.88","10,016.01",3.76B,7.72%
